LASTUPDATEDATE,BUILDINGNAMEID,ENGLISHBUILDINGNAME,CHINESEBUILDINGNAME,NAMESTATUS,ST_CODE
2023/09/03 00:00:00,"1101368238",Sham Tseng Village Tsz Tong,深井村祠堂,E,"68225"
2023/09/03 00:00:00,"1101366428",Tsing Fai Tong Aqua Privy,深井清快塘旱廁,E,"68213"
2023/09/03 00:00:00,"1101366358",Sham Tseng Sun Village Aqua Privy,深井新村旱廁,E,"64079"
2023/09/03 00:00:00,"1101366588",Sham Tseng Village Supply Pump House,深井鄉村食水泵房,E,"68225"
2023/09/03 00:00:00,"1101366678",,排棉角村龍子苑,E,"64075"
2023/09/03 00:00:00,"1101367767",,汀九村公所,E,"74545"
2023/09/03 00:00:00,"1101368035",,圓墩村鍾氏家祠,E,"64091"
2023/09/03 00:00:00,"1101366124",Mount Haven,曉峰園,E,"76433"
2023/09/03 00:00:00,"1101366143",Rambler Plaza,藍澄灣商場,E,"79330"
2023/09/03 00:00:00,"1101366613",,深井東村康樂中心,E,"68219"
2023/09/03 00:00:00,"1101365848",Horizon Place Tower One,月海灣第一座,E,"79012"
2023/09/03 00:00:00,"1101367837",,二陂圳勉逸居,E,"64015"
2023/09/03 00:00:00,"1101368613",,三棟屋村村公所,E,"76972"
2023/09/03 00:00:00,"1101368657",,陳氏家祠,E,"76972"
2023/09/03 00:00:00,"1101367934",,圓墩村廷彩祖祠,E,"64091"
2023/09/03 00:00:00,"1101367804",,木棉下村公所何氏家祠,E,"64021"
2023/09/03 00:00:00,"1101366315",Yau Kom Tau Village Tsz Tong,油柑頭村祠堂,O,"64090"
2023/09/03 00:00:00,"1101366518",Yau Kom Tau Village Refuse Collection Point,油柑頭村垃圾站,O,"64090"
2023/09/03 00:00:00,"1101367977",Chuen Lung Village Office,川龍村公所,E,"64004"
2023/09/03 00:00:00,"1101368438",Rambler Crest Tower 1,藍澄灣第一座,E,"79330"
2023/09/03 00:00:00,"1101366939",Tsuen Wan Div. Police Station Substation,荃灣分區警署變電站,E,"78455"
2023/09/03 00:00:00,"1101367970",Sham Tseng Village Rural Committee,深井村村公所,O,"68225"
2023/09/03 00:00:00,"1101368365",Tsing Yi Industrial Centre Phase II Block E,青衣工業中心第二期Ｅ座,E,"75738"
2023/09/03 00:00:00,"1101366586",Pai Min Kok Village Village Office,排棉角村公所,O,"74552"
2023/09/03 00:00:00,"1101367203",Chung Kwai Chung Tsuen Village Office,中葵涌村公所,O,"74550"
