LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101368158","1100013185"
2023/09/03 00:00:00,"1101367973","1100000458"
2023/09/03 00:00:00,"1101367804","1100004056"
2023/09/03 00:00:00,"1101367682","1101342355"
2023/09/03 00:00:00,"1101368243","1100011094"
2023/09/03 00:00:00,"1101367784","1100003706"
2023/09/03 00:00:00,"1101365720","1100002338"
2023/09/03 00:00:00,"1101367123","1100005474"
2023/09/03 00:00:00,"1101367168","1100002640"
2023/09/03 00:00:00,"1101366785","1100013854"
2023/09/03 00:00:00,"1101366124","1100015113"
2023/09/03 00:00:00,"1101368612","1100002374"
2023/09/03 00:00:00,"1101368657","1100002402"
2023/09/03 00:00:00,"1101367977","1100000360"
2023/09/03 00:00:00,"1101366368","1100002773"
2023/09/03 00:00:00,"1101366990","1100002356"
2023/09/03 00:00:00,"1101366303","1107127550"
2023/09/03 00:00:00,"1101367873","1101342429"
2023/09/03 00:00:00,"1101367970","1100007759"
2023/09/03 00:00:00,"1101368616","1100009828"
2023/09/03 00:00:00,"1101366734","1100009397"
2023/09/03 00:00:00,"1101366810","1100013788"
2023/09/03 00:00:00,"1101366436","1100005982"
2023/09/03 00:00:00,"1101366143","1100015160"
2023/09/03 00:00:00,"1101366342","1100012305"
2023/09/03 00:00:00,"1101366590","1100011260"
2023/09/03 00:00:00,"1101367303","1100002794"
2023/09/03 00:00:00,"1101366586","1100008673"
2023/09/03 00:00:00,"1101367606","1100005257"
2023/09/03 00:00:00,"1101366413","1100004058"
2023/09/03 00:00:00,"1101367178","1100010783"
2023/09/03 00:00:00,"1101367928","1100003277"
2023/09/03 00:00:00,"1101366302","1100005546"
2023/09/03 00:00:00,"1101367196","1100004049"
2023/09/03 00:00:00,"1101367837","1100003804"
2023/09/03 00:00:00,"1101368438","1100013900"
2023/09/03 00:00:00,"1101368325","1100000451"
2023/09/03 00:00:00,"1101366588","1100007664"
2023/09/03 00:00:00,"1101366499","1100002775"
2023/09/03 00:00:00,"1101365726","1100660050"
2023/09/03 00:00:00,"1101366613","1100008241"
2023/09/03 00:00:00,"1101368162","1100006837"
2023/09/03 00:00:00,"1101367206","1100012594"
2023/09/03 00:00:00,"1101365848","1100009582"
2023/09/03 00:00:00,"1101368365","1100012244"
2023/09/03 00:00:00,"1101366315","1100005714"
2023/09/03 00:00:00,"1101366477","1100004136"
2023/09/03 00:00:00,"1101367907","1100010049"
2023/09/03 00:00:00,"1101367776","1100006071"
2023/09/03 00:00:00,"1101367301","1100004049"
2023/09/03 00:00:00,"1101367627","1100000043"
2023/09/03 00:00:00,"1101366358","1100007255"
2023/09/03 00:00:00,"1101367228","1100002506"
2023/09/03 00:00:00,"1101367040","1100009992"
2023/09/03 00:00:00,"1101367258","1100012792"
2023/09/03 00:00:00,"1101368185","1100011075"
2023/09/03 00:00:00,"1101368441","1100013876"
2023/09/03 00:00:00,"1101368129","1100011278"
2023/09/03 00:00:00,"1101367821","1100004660"
2023/09/03 00:00:00,"1101367447","1100003229"
2023/09/03 00:00:00,"1101365987","1100009561"
2023/09/03 00:00:00,"1101367756","1101342394"
2023/09/03 00:00:00,"1101367208","1100012698"
2023/09/03 00:00:00,"1101368638","1100002374"
2023/09/03 00:00:00,"1101367767","1100006774"
2023/09/03 00:00:00,"1101366518","1100005291"
2023/09/03 00:00:00,"1101368238","1100007658"
2023/09/03 00:00:00,"1101393023","1100002452"
2023/09/03 00:00:00,"1101368035","1100009221"
2023/09/03 00:00:00,"1101366534","1100008745"
2023/09/03 00:00:00,"1101367203","1100005125"
2023/09/03 00:00:00,"1101366889","1100000326"
2023/09/03 00:00:00,"1101366432","1100005627"
2023/09/03 00:00:00,"1101366428","1100006085"
2023/09/03 00:00:00,"1101366928","1100003599"
2023/09/03 00:00:00,"1101393024","1100002402"
2023/09/03 00:00:00,"1101367048","1100009920"
2023/09/03 00:00:00,"1101366939","1100003891"
2023/09/03 00:00:00,"1101366469","1100011143"
2023/09/03 00:00:00,"1101366678","1100008631"
2023/09/03 00:00:00,"1101368329","1100013729"
